Product_Id,Product_Name,Product_Category,Product_Price,Product_Currency,EAN,Color,Size,Availability,Internal_ID
1,Thermostat Drone Heater,Kitchen Appliances,74,USD,8.62E+12,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Fitness Equipment,510,USD,3.06E+12,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Beauty & Personal Care,254,USD,9.83E+12,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,Makeup,69,USD,9.49E+12,Pink,XL,in_stock,94
5,Pro Toaster Oven,Automotive,525,USD,4.73E+12,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Team Sports,413,USD,9.02E+12,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,Health & Wellness,621,USD,4.12E+12,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,Laptops & Computers,414,USD,4.97E+12,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Home & Kitchen,858,USD,4.35E+12,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Health & Wellness,153,USD,1.30E+12,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,Health & Wellness,738,USD,5.52E+12,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,Shoes & Footwear,367,USD,1.84E+12,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Grooming Tools,867,USD,5.10E+12,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Clothing & Apparel,356,USD,1.61E+12,DarkBlue,S,backorder,88
15,Premium Brush Scale Grill Plus Plus,Smartwatches,439,USD,6.13E+12,MintCream,M,out_of_stock,71
16,Vacuum Router Toaster,Team Sports,245,USD,3.51E+12,LightSeaGreen,L,out_of_stock,6
17,Digital Clock Lock Eco Premium Portable,Office Supplies,999,USD,1.29E+12,SeaShell,XL,in_stock,83
18,Fast Watch Microphone Microphone,Haircare,868,USD,9.79E+12,Fuchsia,M,limited_stock,66
19,Clean Dock Mixer Router,Toys & Games,411,USD,8.63E+12,Ivory,Large,discontinued,51
20,Cooker Brush,Headphones & Earbuds,280,USD,4.05E+12,Orchid,50x70 cm,limited_stock,39
21,Premium Cooler Premium Sense,"Accessories (Bags, Hats, Belts)",448,USD,3.40E+11,Magenta,M,in_stock,92
22,Digital Powerbank Rechargeable Wireless,Health & Wellness,612,USD,5.05E+12,SkyBlue,S,pre_order,38
23,Digital Drone Advanced,Clothing & Apparel,517,USD,1.14E+12,AliceBlue,Medium,discontinued,35
24,Automatic Thermostat Drone Heater,Kitchen Appliances,182,USD,7.05E+12,Lavender,XL,discontinued,75
25,Clean Webcam Powerbank Portable Compact,Toys & Games,935,USD,8.58E+12,MediumVioletRed,S,discontinued,14
26,Headphones,Team Sports,35,USD,8.97E+12,Salmon,Large,backorder,85
27,Fan Iron Cooker,Health & Wellness,926,USD,5.12E+12,SlateBlue,Large,limited_stock,16
28,Wireless Printer Fan Compact Plus,Home & Kitchen,934,USD,4.95E+12,SeaGreen,10x10 cm,out_of_stock,7
29,Ultra Projector Rechargeable,Books & Stationery,282,USD,4.83E+11,Khaki,S,pre_order,12
30,Blender Toaster Camera,Books & Stationery,90,USD,4.60E+12,Sienna,Large,in_stock,72
31,Treadmill,Toys & Games,537,USD,3.19E+12,DarkViolet,L,in_stock,93
32,Portable Webcam Powerbank Rechargeable Advanced,Fitness Equipment,177,USD,3.36E+12,Khaki,8x10 in,in_stock,24
33,Fan Phone,Camping & Hiking,335,USD,7.31E+11,SkyBlue,50x70 cm,pre_order,53
34,Pro Stove Eco Smart,Cycling,663,USD,3.78E+12,Crimson,XXL,discontinued,18
35,Charger,Fitness Equipment,596,USD,8.41E+12,Green,L,discontinued,86
36,Fan Phone,Laptops & Computers,385,USD,9.54E+12,Orchid,10x10 cm,pre_order,36
37,Fan Powerbank,Kids' Clothing,825,USD,8.78E+11,DarkSlateGray,8x10 in,backorder,38
38,Premium Router Lamp,Home Decor,245,USD,3.03E+12,SlateBlue,100x200 mm,in_stock,5
39,Smart Keyboard Toaster Monitor,Cameras & Accessories,573,USD,5.82E+12,DarkGoldenRod,Large,pre_order,98
40,Pro Iron Drone Ultra,Shoes & Footwear,536,USD,1.17E+12,GhostWhite,Medium,out_of_stock,53
41,Fan,Books & Stationery,783,USD,6.87E+12,Magenta,XS,backorder,48
42,Fast Cooler Prime Advanced,Team Sports,181,USD,1.91E+12,LightSlateGray,M,pre_order,32
43,Advanced Webcam Printer,"Accessories (Bags, Hats, Belts)",914,USD,8.00E+12,Cyan,12x18 in,in_stock,37
44,Premium Scooter,Team Sports,486,USD,2.46E+12,Aqua,12x18 in,in_stock,77
45,Eco Vacuum Iron Phone Clean One Max,Office Supplies,20,USD,1.19E+12,DarkOliveGreen,15x20 cm,in_stock,26
46,Clean Drone Heater Scanner Digital Eco Rechargeable,Kids' Clothing,162,USD,7.47E+12,ForestGreen,Extra Large,limited_stock,29
47,Portable Drone Heater Scanner Lite Premium,Office Supplies,363,USD,1.74E+12,PeachPuff,L,backorder,14
48,Ultra Brush,Makeup,818,USD,2.90E+12,DarkViolet,5x7 in,discontinued,5
49,Charger Lock Oven,Health & Wellness,84,USD,1.26E+12,MintCream,50x70 cm,backorder,80
50,Automatic Clock Lock Digital Touch,Automotive,549,USD,8.03E+12,PaleGreen,XS,out_of_stock,17
51,Cooker Cooler,Shoes & Footwear,643,USD,7.46E+12,DarkGoldenRod,L,limited_stock,94
52,Iron Heater,Headphones & Earbuds,459,USD,6.65E+12,Gainsboro,Extra Large,in_stock,38
53,Advanced Powerbank Touch Max,Office Supplies,273,USD,5.38E+12,DarkSlateBlue,100x200 mm,backorder,85
54,Digital Projector Oven Thermostat Pro,Laptops & Computers,306,USD,3.71E+12,Red,L,backorder,83
55,Eco Grill Automatic,Grooming Tools,976,USD,9.99E+12,Cornsilk,Small,limited_stock,45
56,Smart Tablet Speaker Scooter,Smartphones,980,USD,8.27E+12,PaleGreen,M,pre_order,63
57,Eco Toaster Oven Eco Compact Wireless,Clothing & Apparel,565,USD,6.96E+12,Cyan,L,in_stock,65
58,Premium Cooler Digital Max,Books & Stationery,887,USD,2.02E+12,Lime,Medium,out_of_stock,3
59,Clean Camera Drone Fan One Max,Men's Clothing,466,USD,8.75E+12,Salmon,12x18 in,out_of_stock,2
60,Fan Drone Monitor,Health & Wellness,542,USD,4.05E+12,PaleTurquoise,L,in_stock,3
61,Smart Heater Toaster Stove 360 Premium,Cameras & Accessories,919,USD,1.80E+12,White,8x10 in,backorder,25
62,Advanced Toaster Scanner,Bedding & Bath,310,USD,4.15E+12,Magenta,100x200 mm,out_of_stock,55
63,Automatic Camera Monitor Charger,Grooming Tools,873,USD,3.44E+12,Purple,15x20 cm,backorder,19
64,Wireless Grill Grill Silent,Kitchen Appliances,181,USD,8.03E+12,LightPink,XS,out_of_stock,26
65,Fast Clock Brush Prime,Fishing & Hunting,80,USD,8.26E+12,MediumBlue,S,limited_stock,57
66,Digital Keyboard,Smartphones,989,USD,7.00E+12,Tomato,100x200 mm,backorder,91
67,Fast Tablet,Furniture,567,USD,2.31E+12,SaddleBrown,50x70 cm,discontinued,26
68,Fan Powerbank,"Accessories (Bags, Hats, Belts)",660,USD,3.58E+12,LavenderBlush,12x18 in,backorder,69
69,Heater Radio,Men's Clothing,347,USD,8.96E+12,OldLace,100x200 mm,pre_order,47
70,Bicycle Scooter,Skincare,866,USD,2.03E+12,Red,15x20 cm,discontinued,44
71,Ultra Freezer Smart X Prime,Laptops & Computers,990,USD,2.24E+12,OliveDrab,Small,limited_stock,19
72,Advanced Drone Heater Scanner Wireless,"Accessories (Bags, Hats, Belts)",908,USD,2.84E+11,Aqua,Small,out_of_stock,5
73,Light Heater Clock,Home Decor,489,USD,2.38E+12,Chocolate,50x70 cm,pre_order,78
74,Smart Fan Touch Rechargeable Fast,Health & Wellness,971,USD,3.07E+12,OldLace,XS,backorder,81
75,Heater,Cleaning Supplies,757,USD,1.58E+12,Pink,S,discontinued,57
